t # 1
v 0 0
v 1 1
v 2 2
v 3 3
v 4 4
v 5 5
v 6 5
v 7 6
v 8 7
v 9 8
v 10 9
v 11 10
v 12 11
v 13 12
v 14 13
v 15 14
v 16 15
v 17 16
v 18 17
v 19 18
v 20 19
v 21 20
v 22 12
v 23 21
v 24 22
v 25 8
v 26 23
v 27 24
v 28 25
v 29 26
v 30 27
v 31 28
v 32 29
v 33 29
v 34 30
v 35 31
v 36 32
v 37 33
v 38 34
v 39 0
v 40 1
v 41 35
v 42 36
v 43 37
v 44 5
v 45 38
v 46 7
v 47 8
v 48 9
v 49 10
v 50 11
v 51 39
v 52 13
v 53 14
v 54 40
v 55 16
v 56 17
v 57 41
v 58 19
v 59 20
v 60 39
v 61 42
v 62 43
v 63 8
v 64 23
v 65 44
v 66 45
v 67 46
v 68 25
v 69 47
v 70 48
v 71 28
v 72 49
v 73 49
v 74 30
v 75 50
v 76 51
v 77 52
v 78 34
v 79 0
v 80 1
v 81 53
v 82 54
v 83 5
v 84 5
v 85 55
v 86 7
v 87 56
v 88 8
v 89 9
v 90 10
v 91 57
v 92 58
v 93 59
v 94 13
v 95 14
v 96 60
v 97 16
v 98 61
v 99 19
v 100 20
v 101 58
v 102 62
v 103 43
v 104 8
v 105 63
v 106 24
v 107 25
v 108 64
v 109 48
v 110 28
v 111 65
v 112 66
v 113 67
v 114 68
v 115 34
v 116 0
v 117 1
v 118 35
v 119 5
v 120 5
v 121 69
v 122 6
v 123 7
v 124 8
v 125 9
v 126 10
v 127 70
v 128 71
v 129 13
v 130 14
v 131 72
v 132 73
v 133 17
v 134 74
v 135 75
v 136 76
v 137 71
v 138 77
v 139 43
v 140 8
v 141 63
v 142 24
v 143 25
v 144 47
v 145 48
v 146 28
v 147 30
v 148 31
v 149 78
v 150 79
v 151 0
v 152 1
v 153 80
v 154 81
v 155 36
v 156 82
v 157 82
v 158 82
v 159 7
v 160 56
v 161 51
v 162 9
v 163 10
v 164 57
v 165 83
v 166 13
v 167 59
v 168 84
v 169 85
v 170 86
v 171 17
v 172 87
v 173 88
v 174 20
v 175 83
v 176 89
v 177 22
v 178 8
v 179 23
v 180 24
v 181 51
v 182 25
v 183 64
v 184 48
v 185 28
v 186 30
v 187 90
v 188 91
v 189 92
v 190 34
v 191 0
v 192 1
v 193 35
v 194 5
v 195 5
v 196 93
v 197 6
v 198 7
v 199 8
v 200 9
v 201 70
v 202 94
v 203 13
v 204 59
v 205 14
v 206 95
v 207 86
v 208 17
v 209 96
v 210 19
v 211 20
v 212 94
v 213 97
v 214 43
v 215 8
v 216 23
v 217 24
v 218 25
v 219 47
v 220 48
v 221 28
v 222 65
v 223 34
v 224 0
v 225 1
v 226 2
v 227 81
v 228 54
v 229 4
v 230 5
v 231 5
v 232 98
v 233 7
v 234 56
v 235 51
v 236 9
v 237 10
v 238 57
v 239 99
v 240 13
v 241 59
v 242 14
v 243 100
v 244 101
v 245 16
v 246 17
v 247 102
v 248 19
v 249 76
v 250 20
v 251 99
v 252 103
v 253 22
v 254 104
v 255 82
v 256 8
v 257 63
v 258 24
v 259 25
v 260 64
v 261 48
v 262 28
v 263 65
v 264 29
v 265 105
v 266 106
v 267 79
v 268 0
v 269 1
v 270 107
v 271 108
v 272 109
v 273 110
v 274 38
v 275 7
v 276 8
v 277 9
v 278 10
v 279 11
v 280 111
v 281 13
v 282 14
v 283 40
v 284 16
v 285 17
v 286 112
v 287 75
v 288 20
v 289 111
v 290 21
v 291 43
v 292 8
v 293 63
v 294 113
v 295 51
v 296 25
v 297 47
v 298 48
v 299 28
v 300 65
v 301 114
v 302 49
v 303 91
v 304 34
v 305 0
v 306 1
v 307 107
v 308 54
v 309 5
v 310 5
v 311 69
v 312 7
v 313 8
v 314 9
v 315 57
v 316 115
v 317 59
v 318 13
v 319 14
v 320 72
v 321 73
v 322 116
v 323 19
v 324 76
v 325 115
v 326 117
v 327 43
v 328 8
v 329 63
v 330 24
v 331 25
v 332 64
v 333 48
v 334 28
v 335 30
v 336 67
v 337 118
v 338 79
v 339 0
v 340 1
v 341 35
v 342 4
v 343 31
v 344 5
v 345 38
v 346 7
v 347 56
v 348 8
v 349 9
v 350 119
v 351 120
v 352 121
v 353 59
v 354 13
v 355 14
v 356 122
v 357 16
v 358 123
v 359 124
v 360 19
v 361 76
v 362 121
v 363 125
v 364 126
v 365 8
v 366 127
v 367 24
v 368 8
v 369 128
v 370 25
v 371 129
v 372 47
v 373 48
v 374 130
v 375 28
v 376 65
v 377 131
v 378 132
v 379 133
v 380 79
v 381 0
v 382 1
v 383 35
v 384 134
v 385 108
v 386 135
v 387 135
v 388 136
v 389 8
v 390 9
v 391 10
v 392 70
v 393 137
v 394 13
v 395 14
v 396 138
v 397 16
v 398 139
v 399 19
v 400 76
v 401 137
v 402 140
v 403 141
v 404 8
v 405 142
v 406 44
v 407 143
v 408 25
v 409 144
v 410 48
v 411 28
v 412 65
v 413 145
v 414 146
v 415 147
v 416 79
v 417 0
v 418 1
v 419 35
v 420 5
v 421 5
v 422 148
v 423 68
v 424 7
